tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,address,postcode,zip_city,community board,borocode,borough,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp,council district,census tract,bin,bbl
179447,230453,08/27/2015,4,0,OnCurb,Alive,Good,Quercus rubra,northern red oak,1or2,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,512 EAST 23 STREET,11210,Brooklyn,314,3,Brooklyn,45,42,21,BK42,Flatbush,3077000,New York,40.63749057,-73.95578896,996520.3688,171534.4778,45,770,3253123,3052220050
192569,302968,08/31/2015,2,0,OnCurb,Dead,,,,,,,Volunteer,,No,No,No,No,No,No,No,No,No,48-050 44 STREET,11377,Woodside,402,4,Queens,26,37,12,QN31,Hunters Point-Sunnyside-West Maspeth,4018501,New York,40.73804388,-73.92155189,1005989.741,208175.625,26,18501,4430640,4001770001
179766,230466,08/27/2015,0,30,OnCurb,Stump,,,,,,,TreesCount Staff,,No,No,No,No,No,No,No,No,No,2676 BEDFORD AVENUE,11210,Brooklyn,314,3,Brooklyn,45,42,21,BK42,Flatbush,3077000,New York,40.63737897,-73.95381354,997068.6473,171494.1029,45,770,3120745,3052240054
191379,104299,08/31/2015,5,0,OnCurb,Alive,Fair,Zelkova serrata,Japanese zelkova,1or2,Harmful,Damage,Volunteer,BranchOther,No,No,No,No,No,No,No,No,Yes,119 EAST 23 STREET,10010,New York,105,1,Manhattan,2,74,28,MN21,Gramercy,1006800,New York,40.73986146,-73.98536217,988306.3626,208828.4305,2,68,1087070,1008797501
191380,104299,08/31/2015,6,0,OnCurb,Alive,Fair,Zelkova serrata,Japanese zelkova,1or2,Harmful,Damage,Volunteer,BranchOther,No,No,No,No,No,No,No,No,Yes,119 EAST 23 STREET,10010,New York,105,1,Manhattan,2,74,28,MN21,Gramercy,1006800,New York,40.7398883,-73.98542513,988288.9148,208838.2064,2,68,1087070,1008797501
180619,348834,08/27/2015,0,10,OnCurb,Stump,,,,,,,TreesCount Staff,,No,No,No,No,No,No,No,No,No,113-001 JEWEL AVENUE,11375,Forest Hills,406,4,Queens,29,27,15,QN17,Forest Hills,4075702,New York,40.72529977,-73.83937578,1028771.091,203563.63,29,75702,4052666,4022430039
184295,505610,08/29/2015,0,0,OnCurb,Dead,,,,,,,Volunteer,,No,No,No,No,No,No,No,No,No,2454 LORILLARD PLACE,10458,Bronx,206,2,Bronx,15,78,33,BX06,Belmont,2038700,New York,40.85787584,-73.8878503,1015273.311,251844.7188,15,387,2011787,2030580079
208828,107238,09-08-15,0,15,OnCurb,Stump,,,,,,,Volunteer,,No,No,No,No,No,No,No,No,No,301 EAST 66 STREET,10065,New York,108,1,Manhattan,5,76,28,MN31,Lenox Hill-Roosevelt Island,1011800,New York,40.76491371,-73.96085724,995092.9675,217957.8614,5,118,1044738,1014417501
127639,220990,08-08-15,4,0,OnCurb,Alive,Good,Quercus velutina,black oak,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,273 MARCUS GARVEY BOULEVARD,11221,Brooklyn,303,3,Brooklyn,36,56,25,BK35,Stuyvesant Heights,3027700,New York,40.68802636,-73.93896269,1001177.514,189948.8882,36,277,3325012,3016290001
181973,337808,08/28/2015,0,25,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,192 BEACH 142 STREET,11694,Rockaway Park,414,4,Queens,32,23,15,QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,4092800,New York,40.57133138,-73.85807161,1023679.957,147459.8236,32,928,4306966,4163150078
194456,341542,09-01-15,3,0,OnCurb,Alive,Good,Zelkova serrata,Japanese zelkova,1or2,Helpful,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,31-022 80 STREET,11370,East Elmhurst,403,4,Queens,25,34,13,QN28,Jackson Heights,4030903,New York,40.75838199,-73.88783889,1015322.882,215595.6099,25,30903,4025766,4011500018
208821,107238,09-08-15,11,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,3or4,Harmful,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,321 EAST 66 STREET,10065,New York,108,1,Manhattan,5,76,28,MN31,Lenox Hill-Roosevelt Island,1011800,New York,40.76439762,-73.95963287,995432.2181,217769.9838,5,118,1044739,1014410014
200699,215932,09-03-15,17,0,OnCurb,Alive,Good,Ginkgo biloba,ginkgo,1or2,Unsure,NoDamage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,11 MC GUINNESS BOULEVARD,11222,Brooklyn,301,3,Brooklyn,33,50,26,BK76,Greenpoint,3057100,New York,40.72309432,-73.94762396,998767.8387,202723.6389,33,571,3066852,3026820031
179841,348465,08/27/2015,3,0,OnCurb,Alive,Good,Malus,crab apple,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,75-005 113 STREET,11375,Forest Hills,406,4,Queens,29,27,14,QN17,Forest Hills,4075701,New York,40.71946253,-73.83582154,1029760.224,201438.7757,29,75701,4052769,4022650079
209053,415850,09-08-15,12,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,299 ROMA AVENUE,10306,Staten Island,503,5,Staten Island,50,64,24,SI25,Oakwood-Oakwood Beach,5012806,New York,40.5589637,-74.10612351,954761.742,142939.8963,50,12806,5056701,5040740035
189903,223586,08/30/2015,17,0,OnCurb,Alive,Good,Ginkgo biloba,ginkgo,1or2,None,Damage,Volunteer,None,No,No,No,No,No,No,No,No,No,33 7 AVENUE,11217,Brooklyn,306,3,Brooklyn,39,52,21,BK37,Park Slope-Gowanus,3015900,New York,40.67665163,-73.97387774,991495.7394,185799.9277,39,159,3024356,3010580001
206413,342814,09-06-15,2,0,OnCurb,Alive,Good,Ginkgo biloba,ginkgo,3or4,Helpful,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,58-020 99 STREET,11368,Corona,404,4,Queens,21,35,13,QN25,Corona,4043702,New York,40.73726943,-73.85940096,1023213.608,207915.0019,21,455,4047329,4019180082
