recordid,address,house_number,street,zip_original,cb_original,site,species,diameter,status,wires,sidewalk_condition,support_structure,borough,x,y,longitude,latitude,cb_new,zip_new,censustract_2010,censusblock_2010,nta_2010,segmentid,spc_common,spc_latin,location
414385,88-010 34 AV,88-010,34 AV,11372,403,Front,QURU,3,Good,None,Good,Stakes / Wires,Queens,1017676.283,214122.102,-73.879351,40.754329,403,11372,277,2002,QN28,76494,OAK NORTHERN RED,QUERCUS RUBRA,(40.754329 -73.879351)
372578,109-033 176 ST,109-033,176 ST,11433,412,Front,PS,0,Planting Space,Yes,Good,None,Queens,1045517.962,194005.9908,-73.779043,40.698966,412,11433,414,1003,QN01,60833,PLANTING SITE,PLANTING SITE,(40.698966 -73.779043)
475782,187 CROSSFIELD AV,187,CROSSFIELD AV,10312,503,Front,ACPL,7,Good,None,Good,None,Staten Island,935360.5708,142448.083,-74.175942,40.557528,503,10312,17008,1017,SI48,4231,MAPLE NORWAY,ACER PLATANOIDES,(40.557528 -74.175942)
333171,35-021 81 ST,35-021,81 ST,11372,403,Adjacent,UNKDEAD,17,Dead,None,Good,None,Queens,1015965.14,213000.0431,-73.885533,40.751256,403,11372,283,4000,QN28,76232,UNKNOWN DEAD TREES,UNKNOWN DEAD TREES,(40.751256 -73.885533)
227559,60-003 69 PL,60-003,69 PL,11378,405,Front,COMA,3,Excellent,None,NA,Stakes / Wires,Queens,1014409.989,202363.1788,-73.891193,40.722065,405,11378,66701,2003,QN21,74313,CHERRY CORNELIAN,CORNUS MAS,(40.722065 -73.891193)
83685,102 STEPHENS AV,102,STEPHENS AV,10473,109,Adjacent,ULAM,30,Excellent,Yes,Good,None,Bronx,1024986.25,233669.6376,-73.852848,40.807951,209,10473,4,3002,BX09,85400,ELM AMERICAN,ULMUS AMERICANA,(40.807951 -73.852848)
256699,83-029 TALBOT ST,83-029,TALBOT ST,11415,409,Side,ACPL,15,Good,None,Good,None,Queens,1031843.083,197718.6524,-73.828334,40.709241,409,11415,138,1002,QN60,56102,MAPLE NORWAY,ACER PLATANOIDES,(40.709241 -73.828334)
295484,195050 PECK AV,195050,PECK AV,11365,408,Assigned,PLAC,3,Good,None,NA,None,Queens,1043026.765,210511.9149,-73.787883,40.744288,408,11365,1347,3001,QN41,180520,LONDON PLANETREE,PLATANUS ACERIFOLIA,(40.744288 -73.787883)
413410,151-015 84 ST,151-015,84 ST,11414,410,Front,PLAC,16,Good,None,Good,None,Queens,1025678.447,182545.7689,-73.850663,40.667626,410,11414,6201,1001,QN57,51396,LONDON PLANETREE,PLATANUS ACERIFOLIA,(40.667626 -73.850663)
127026,1721 Avenue H,1721,Avenue H,11230,214,Front,ACPL,21,Good,None,Good,None,Brooklyn,995296.839,168883.1737,-73.960202,40.630215,314,11230,528,1000,BK42,163485,MAPLE NORWAY,ACER PLATANOIDES,(40.630215 -73.960202)
198684,475 CARLTON AV,475,CARLTON AV,11238,202,Adjacent,UNKNOWN,13,Good,None,Good,None,Brooklyn,992315.861,188258.5853,-73.970918,40.683399,302,11238,179,1002,BK68,225797,UNKNOWN LIVE TREES,UNKNOWN LIVE TREES,(40.683399 -73.970918)
468427,7 GAYNOR ST,7,GAYNOR ST,10309,503,Side,PYCA,4,Excellent,Yes,Good,None,Staten Island,923139.8885,130223.7473,-74.21981,40.523899,503,10309,226,4002,SI11,1360,PEAR CALLERY,PYRUS CALLERYANA,(40.523899 -74.21981)
111619,285 NEW YORK AV,285,NEW YORK AV,11216,208,Front,GIBI,11,Poor,None,Good,None,Brooklyn,998755.3687,183456.68,-73.94771,40.670211,308,11216,337,3001,BK61,184441,GINKGO,GINKGO BILOBA,(40.670211 -73.94771)
384539,74-052 45 AV,74-052,45 AV,11373,404,Front,ACRU,20,Poor,None,Good,None,Queens,1014922.178,209207.9468,-73.889314,40.740851,404,11373,485,3004,QN50,74456,MAPLE RED,ACER RUBRUM,(40.740851 -73.889314)
440303,48-003 47 AV,48-003,47 AV,11377,402,Front,ACSA2,6,Good,Yes,Good,None,Queens,1007190.738,209231.0367,-73.917214,40.740938,402,11377,235,2002,QN31,66803,MAPLE SUGAR,ACER SACCHARUM,(40.740938 -73.917214)
342224,32-036 83 ST,32-036,83 ST,11370,403,Front,ACSA2,4,Excellent,None,Good,None,Queens,1016198.067,215090.8537,-73.884682,40.756993,403,11370,327,2001,QN28,76384,MAPLE SUGAR,ACER SACCHARUM,(40.756993 -73.884682)
47278,720 ST MARYS ST,720,ST MARYS ST,10454,101,Side,PYCA,4,Good,None,Good,None,Bronx,1008976.615,233959.8452,-73.910679,40.808807,201,10454,33,1002,BX39,70349,PEAR CALLERY,PYRUS CALLERYANA,(40.808807 -73.910679)
